"tipo_elem";distrito;id;"cod_cent";"nombre";utm_x;utm_y;longitud;latitud
"URB";15;10839;"46079";"Agastia - Ramirez de Arellano - Emilio Vargas";444549.1103797;4477793.686446618;-3.65391475268927;40.44895158974838
"URB";15;10840;"46080";"Emilio Vargas - Arturo Soria - Agastia";444701.635850945;4477786.473319381;-3.65211555078333;40.44889677046437
"URB";15;11060;"46081";"Asura 83 - Ulises-Bueso Pineda";444596.971260251;4478579.300466763;-3.65341892903538;40.45603199215472
"URB";16;6099;"47039";"Bacares - Cuevas de Almanzora-Golfo de Salónica";443681.734130169;4481029.960729324;-3.66443000638115;40.47804716602718
"URB";15;6100;"47040";"Arturo Soria  - Emeterio Castaños-Manuel Uribe";443612.750853927;4479426.126309951;-3.66510124191258;40.46359440780717
"URB";15;10167;"47041";"Serrano Galvache - Bausa - Arturo Soria";443335.900923631;4480286.090508266;-3.66844334613174;40.47132252467482
"URB";16;10747;"47050";"Avda. San Luis - Julio Dánvila_C.de las Cuevas de Almanzora";443808.248466126;4480480.899847667;-3.66288886690817;40.47310954559263
"URB";16;6104;"47401";"Dulce Chacón - Estación Metro-Ingeniero Emilio Herrera";443795.156677292;4481729.660617854;-3.66315398417483;40.48435805958785
"URB";2;4181;"13039";"EMBAJADORES N-S(STA MARIA CABEZA-GENERAL PALANCA)";440698.963386069;4472392.244426254;-3.69881145355644;40.40002713006566
"URB";2;4182;"13040";"STA MARIA CABEZA N-S(EMBAJADORES-PENUELAS)";440618.849583998;4472452.13823783;-3.69976104544736;40.40056097463732
"URB";2;4184;"13042";"STA MARIA CABEZA S-N(PUENTE DE PRAGA-AGUILON)";440347.564821889;4472041.894943989;-3.70291926151399;40.39684590752505
"URB";2;4185;"13043";"Po DE LA ESPERANZA N-S(GARGANTILLA-STA MARIA CABEZA)";440367.520552369;4472214.945688405;-3.70270033610862;40.39840626484789
"URB";2;4186;"13044";"BATALLA DEL SALADO N-S(PALOS DE LA FRONTERA-CANARIAS)";440945.275278153;4472687.745954859;-3.69593649769297;40.40270666313532
"URB";2;4187;"13045";"PALOS DE LA FRONTERA E-O(BATALLA DEL SALADO-STAMARIA CABEZA)";440923.364906076;4472739.76250979;-3.69619951236237;40.40317370036288
"URB";6;4536;"31058";"Po DIRECCION E-O(ISLA GOMERA-OFELIA NIETO)";440072.06593887;4479353.117098371;-3.70685465558085;40.46268887459505
"URB";8;4553;"32011";"MELCHOR FERNANDEZ ALMAGRO E-O(FERROL-AV. BETANZOS)";439835.303500655;4480790.542563667;-3.70978340126558;40.47562063566297
"URB";15;6101;"47042";"Añastro - Mesena-Arturo Soria";443729.321702083;4479859.736092183;-3.66376480100451;40.46750847167387
"URB";14;6114;"52002";"Camino Vinateros - Arroyo de la Media Legua-Cdor Diego Valderrábano";444246.586999807;4473547.74658118;-3.65710968873215;40.41068164536651
"URB";14;6117;"52005";"Camino Vinateros - Marroquina-Av. Moratalaz";445089.777495035;4473312.229110849;-3.64715212800688;40.40861601499175
"URB";14;6118;"52006";"Camino Vinateros  - Cañada-Av. Moratalaz";445295.183516824;4473155.704842969;-3.64471797663109;40.40721947491926
"URB";14;6119;"52007";"Camino Vinateros - Av. Moratalaz-Cañada";445302.613257426;4473143.125139498;-3.64462933822596;40.40710663764305
"URB";14;6123;"52008";"Av. Moratalaz - Colegio Senara - Av. Moratalaz";445326.613029418;4473298.624417671;-3.64435986847166;40.4085090442011
"URB";14;9946;"52604";"Camino Vinateros - Arroyo Belincoso-Arroyo Media Legua";444513.005387755;4473544.186534193;-3.65396956576749;40.41066737631245
"URB";14;9950;"52608";"Arroyo Media Legua - Santa Irene-Acceso O´Donnell";444764.893126395;4474030.109439741;-3.6510431871597;40.41506160201317
"URB";15;10302;"53017";"AV. Marqués de Corbera - José Luis Arrese - Montejurra";444360.871417575;4474892.136874742;-3.65588041183366;40.42280031389064
"URB";16;6602;"79002";"Av. Niceto Alcalá Zamora - Ana de Austria-María de Portugal";444274.618298154;4483441.021665054;-3.65764772509754;40.49980707207026
"URB";2;3585;"13046";"CANARIAS O-E(BATALLA DEL SALADO-DELICIAS)";440989.514097722;4472607.275809143;-3.69540773726671;40.40198488351968
"URB";2;3586;"13047";"BATALLA DEL SALADO N-S(CANARIAS-FERROCARRIL)";440936.631932532;4472605.895930869;-3.69603075433064;40.40196870341897
"URB";1;4693;"90008";"RONDA DE SEGOVIA N-S(ALGECIRAS-SEGOVIA)";439087.619374651;4473714.366918912;-3.71792489417645;40.41182110893077
"URB";14;9953;"52609";"Corregidor Diego Valderrabano - Alfredo Brañas-Dr. Garcia Tapia";444175.507277417;4473774.972470517;-3.65796731883795;40.41272386061232
"URB";2;4188;"13048";"CANARIAS O-E(STA MARIA CABEZA-BATALLA DEL SALADO)";440848.633202388;4472618.472281329;-3.69706886904517;40.40207575082894
